sasdate,RPI,W875RX1,INDPRO,CUMFNS,ACOGNO
Transform:,5,5,5,2,5
1/1/1959,2583.56,2426,21.9616,80.1973,
2/1/1959,2593.596,2434.8,22.3917,81.4428,
3/1/1959,2610.396,2452.7,22.7142,82.4769,
4/1/1959,2627.446,2470,23.1981,83.9922,
5/1/1959,2642.72,2486.4,23.5476,84.9159,
6/1/1959,2650.841,2493.9,23.5744,84.7686,
7/1/1959,2649.304,2492,23.0099,82.9798,
8/1/1959,2634.369,2477.7,22.2304,79.4676,
9/1/1959,2636.381,2477.7,22.2035,79.0489,
10/1/1959,2639.735,2480.6,22.0422,78.1537,
11/1/1959,2659.765,2497.2,22.1766,78.5051,
12/1/1959,2687.012,2525.8,23.5475,83.5682,
1/1/1960,2695.694,2537.6,24.1658,85.5616,
2/1/1960,2698.789,2539.9,23.9508,84.6108,
3/1/1960,2703.859,2542.2,23.7357,83.2421,
4/1/1960,2713.243,2551.4,23.5476,82.2593,
5/1/1960,2719.777,2557.6,23.5207,81.4711,
6/1/1960,2721.855,2557,23.225,80.2236,
7/1/1960,2726.734,2561.9,23.1443,79.7275,
8/1/1960,2722.383,2555.4,23.1175,79.0505,
9/1/1960,2725.93,2556.1,22.8755,77.9187,
10/1/1960,2733.981,2564.1,22.8487,77.5287,
11/1/1960,2722.236,2549.4,22.5261,75.7724,
12/1/1960,2709.794,2534.5,22.096,74.2557,
1/1/1961,2734.05,2556.6,22.1229,74.1095,
2/1/1961,2744.703,2556.8,22.096,73.512,
3/1/1961,2755.967,2569.4,22.2304,73.8637,
4/1/1961,2761.873,2578.3,22.6874,75.3829,
5/1/1961,2783.267,2593.7,23.0368,76.356,
6/1/1961,2809.575,2614.5,23.3594,77.3241,
7/1/1961,2817.586,2620.7,23.6282,78.1087,
8/1/1961,2819.181,2631.9,23.8432,78.9783,
9/1/1961,2822.627,2637,23.8164,78.1562,
10/1/1961,2850.442,2665.2,24.2733,79.5528,
11/1/1961,2875.937,2689.7,24.6497,80.7658,
12/1/1961,2893.211,2704.5,24.8647,81.6041,
1/1/1962,2890.321,2700.8,24.6496,80.2408,
2/1/1962,2902.573,2713.9,25.0529,81.4267,
3/1/1962,2922.539,2731.9,25.1873,81.8912,
4/1/1962,2937.504,2749,25.241,81.7429,
5/1/1962,2941.678,2752.9,25.2141,81.3349,
6/1/1962,2945.739,2756.3,25.1604,80.9291,
7/1/1962,2960.008,2769.4,25.4023,81.476,
8/1/1962,2964.773,2772.5,25.4292,81.4168,
9/1/1962,2966.166,2775.8,25.5905,81.7875,
10/1/1962,2981.84,2785,25.6174,81.3851,
11/1/1962,2992.828,2798.3,25.7249,81.8392,
12/1/1962,3006.868,2813,25.7249,81.6791,
