# Gertler & Karadi (2015) monthly US dataset, 1979:7-2012:6 (T = 396).
# Columns: logcpi = 100*log CPI, logip = 100*log industrial production, gs1 = 1-year Treasury
#   rate (percent), ebp = Gilchrist-Zakrajsek excess bond premium (percentage points), and the
#   high-frequency FOMC-surprise instruments (percentage points; empty = outside availability):
#   ff4_tc = 3-month-ahead fed funds futures surprise (the paper's baseline, available 1990:1-2012:6;
#   the paper's baseline estimation uses 1991:1-2012:6), mp1_tc = current-month fed funds futures
#   surprise (1988:11-), ed2_tc/ed3_tc/ed4_tc = 2-4-quarter-ahead eurodollar futures surprises
#   (1984:1-). "_tc" = the authors' tight (30-minute) event window series.
# Source: Gertler, M. & Karadi, P. (2015), "Monetary Policy Surprises, Credit Costs, and Economic
#   Activity", American Economic Journal: Macroeconomics 7(1):44-76 -- the authors' public AEJ
#   replication dataset. Obtained verbatim from the mirror in the Plagborg-Moller & Wolf SVMA-IV
#   replication repository (github.com/mikkelpm/svma_iv, applications/gk/gk2015.csv), and
#   cross-checked column-by-column against the independent mirror in Cesa-Bianchi's VAR-Toolbox
#   (github.com/ambropo/VAR-Toolbox, Replic/GK2015/GK2015_Data.xlsx): shared columns agree to
#   float-print precision (<= 1e-6) and the instrument availability windows are identical.
#   The underlying series are US-government statistics (CPI, IP, Treasury yields), the
#   Gilchrist-Zakrajsek (2012, AER) excess bond premium, and the authors' published futures-surprise
#   series. Redistributed with attribution; please cite Gertler & Karadi (2015) if you use this
#   file. Retrieved 2026-08-19.
date,logcpi,logip,gs1,ebp,ff4_tc,mp1_tc,ed2_tc,ed3_tc,ed4_tc
1979-07,429.0459,394.33411,9.6400003,-.22395299,,,,,
1979-08,430.00031,393.67551,9.9799995,-.31748801,,,,,
1979-09,430.94559,393.81561,10.84,-.089455999,,,,,
1979-10,432.01511,394.3526,12.44,-.91215801,,,,,
1979-11,433.0733,394.25211,12.39,-.16622201,,,,,
1979-12,434.25061,394.32251,11.98,.127869,,,,,
1980-01,435.6709,394.75119,12.06,-.102562,,,,,
1980-02,436.94479,394.82971,13.92,-.58488202,,,,,
1980-03,438.32761,394.52219,15.82,.25607601,,,,,
1980-04,439.32141,392.48209,13.3,-.73117501,,,,,
1980-05,440.30539,389.9928,9.3900003,.024596,,,,,
1980-06,441.27979,388.76419,8.1599998,-.089556001,,,,,
1980-07,441.401,388.1019,8.6499996,.093039997,,,,,
1980-08,442.12469,388.38931,10.24,-.041168999,,,,,
1980-09,442.96259,389.98679,11.52,-.073297001,,,,,
1980-10,443.91159,391.2341,12.49,-.297335,,,,,
1980-11,444.96851,392.94519,14.15,.26447001,,,,,
1980-12,445.8988,393.53491,14.88,-.103086,,,,,
1981-01,446.8204,392.9798,14.08,.324857,,,,,
1981-02,447.7337,392.5141,14.57,.103979,,,,,
1981-03,448.41321,393.0321,13.71,-.035854999,,,,,
1981-04,448.97589,392.60281,14.32,.50134301,,,,,
1981-05,449.64709,393.21509,16.200001,.26379901,,,,,
1981-06,450.535,393.67551,14.86,.42459199,,,,,
1981-07,451.63391,394.302,15.72,.412094,,,,,
1981-08,452.396,394.29501,16.719999,.239638,,,,,
1981-09,453.3674,393.65948,16.52,.39655101,,,,,
1981-10,453.68909,392.9584,15.38,.57229,,,,,
1981-11,454.11649,391.84879,12.41,.160274,,,,,
1981-12,454.43579,390.73761,12.85,.54532802,,,,,
1982-01,454.75409,388.75009,14.32,.75689399,,,,,
1982-02,455.07141,390.68839,14.73,.453381,,,,,
1982-03,455.07141,389.94629,13.95,.90809101,,,,,
1982-04,455.3877,389.0759,13.98,.69748002,,,,,
1982-05,456.3306,388.457,13.34,.712093,,,,,
1982-06,457.4711,388.12091,14.07,.64298099,,,,,
1982-07,457.9852,387.80441,13.24,.61346602,,,,,
1982-08,458.19019,386.96979,11.43,-.113349,,,,,
1982-09,458.19019,386.6297,10.85,.47666401,,,,,
1982-10,458.59869,385.76599,9.3199997,.12542699,,,,,
1982-11,458.4967,385.37451,9.1599998,.49941301,,,,,
1982-12,458.19019,384.64511,8.9099998,.69748199,,,,,
1983-01,458.39471,386.54199,8.6199999,.328926,,,,,
1983-02,458.4967,385.9379,8.9200001,.26702201,,,,,
1983-03,458.59869,386.77011,9.04,.215837,,,,,
1983-04,459.30981,387.9783,8.9799995,.119112,,,,,
1983-05,459.71381,388.66171,8.8999996,-.081389003,,,,,
1983-06,459.91519,389.20261,9.6599998,.087245002,,,,,
1983-07,460.3168,390.71069,10.2,-.075866997,,,,,
1983-08,460.617,391.79379,10.53,-.177673,,,,,
1983-09,460.9162,393.30539,10.16,-.047111999,,,,,
1983-10,461.31381,394.11081,9.8100004,-.065370001,,,,,
1983-11,461.61099,394.41861,9.9399996,.047045,,,,,
1983-12,461.90729,394.92841,10.11,.129582,,,,,
1984-01,462.59531,396.93311,9.8999996,.057239,,,0,0,0
1984-02,463.0838,397.42709,10.04,-.050522,,,.0099999998,0,-.0099999998
1984-03,463.37579,397.8902,10.59,.030464999,,,0,0,-.0012903
1984-04,463.7637,398.50562,10.9,.147306,,,0,0,-.0087096998
1984-05,463.95721,398.99979,11.66,-.28567901,,,.0087096998,.0116129,.0087096998
1984-06,464.15021,399.35391,12.08,-.0060049999,,,.0212903,.0283871,.0212903
1984-07,464.53519,399.68399,12.03,-.120269,,,.0090322997,.0045161,0
1984-08,464.823,399.76019,11.82,.221358,,,.0045161,.0022581001,0
1984-09,465.10989,399.60071,11.58,-.017890999,,,-.0135484,-.0067742001,0
1984-10,465.49121,399.4657,10.9,-.23375501,,,.0093548,0,.0093548
1984-11,465.6813,399.8443,9.8199997,-.067831002,,,.031311799,.0153333,.0159785
1984-12,465.87109,399.94861,9.3299999,.001616,,,-.25131181,-.23468819,-.21404301
1985-01,466.06049,399.70639,9.0200005,-.074955001,,,-.45935479,-.42064509,-.38129029
1985-02,466.6265,400.13199,9.29,-.095077999,,,-.0128571,-.0128571,-.0128571
1985-03,467.09579,400.2525,9.8599997,.138643,,,.0012442,-.00036870001,-.0068203001
1985-04,467.2829,400.01031,9.1400003,-.029021,,,-.0213871,-.0297742,-.045989301
1985-05,467.4696,400.1366,8.46,-.19403701,,,-.17667741,-.19119351,-.1846559
1985-06,467.74911,400.2067,7.8000002,.212439,,,-.1703226,-.1858065,-.19967739
1985-07,467.935,399.51141,7.8600001,.134211,,,0,0,0
1985-08,468.12051,399.9523,8.0500002,.14692099,,,.0193548,-.044193499,-.0041935001
1985-09,468.30569,400.375,8.0699997,.25098401,,,-.0026882,.0075269002,-.00080649997
1985-10,468.67499,399.97339,8.0100002,.294745,,,-.0063441,.0066666999,.0146774
1985-11,469.1348,400.3154,7.8800001,.29036,,,.0080107003,.0083333002,.00032260001
1985-12,469.5925,401.33951,7.6700001,.032191999,,,-.0028494999,.0016667,0
1986-01,469.95709,401.8288,7.73,.33818701,,,-.0054839002,0,0
1986-02,469.7749,401.0961,7.6100001,-.28549001,,,.0057143001,.0057143001,-.0057143001
1986-03,469.2265,400.46481,7.0300002,.58569002,,,.020414701,.020414701,.036036901
1986-04,468.85919,400.53329,6.4400001,.54437,,,-.0024623,.0212043,.0270107
1986-05,469.1348,400.70801,6.6500001,.030158,,,.0092366003,.0226667,.026215
1986-06,469.5011,400.38599,6.73,.022067999,,,-.0215699,-.0086666998,-.0108817
1986-07,469.5925,401.02939,6.27,.77326399,,,.019957,.019957,.0115269
1986-08,469.68369,400.81369,5.9299998,.70852,,,-.0067742001,-.0067742001,-.0135484
1986-09,470.048,400.98721,5.77,.31400499,,,-.039182801,-.041516099,-.042978499
1986-10,470.22971,401.44571,5.7199998,.54546303,,,-.0153333,-.023,-.0076665999
1986-11,470.41101,401.9075,5.8000002,.66925502,,,0,0,0
1986-12,470.77271,402.77859,5.8699999,.69904101,,,0,-.0048386999,0
1987-01,471.31271,402.45432,5.7800002,.55411601,,,.0054839002,-.0051612998,-.0054839002
1987-02,471.6712,403.73859,5.96,.63077903,,,-.0015553,0,.0015553
1987-03,472.02829,403.89529,6.0300002,.51899201,,,-.0039285002,0,.0039285002
1987-04,472.4729,404.49341,6.5,-.384307,,,.017666699,.017333301,-.0023333
1987-05,472.7388,405.17499,7,.259175,,,-.063795798,-.073462397,-.083150402
1987-06,473.1803,405.69901,6.8000002,.244076,,,.0061289999,.0061289999,-.024516201
1987-07,473.44421,406.33801,6.6799998,.48499501,,,-.023225799,-.0154839,.0077419002
1987-08,473.88269,407.05859,7.0300002,.469987,,,-.0067742001,.020645101,.027419301
1987-09,474.23199,407.32401,7.6700001,.492706,,,.1593333,.1788388,.1418388
1987-10,474.49319,408.82932,7.5900002,-.843692,,,.0384086,.1127741,.13170969
1987-11,474.84039,409.3584,6.96,.264651,,,-.0067419,.1272258,.1842903
1987-12,475.01361,409.82349,7.1700001,.0067150001,,,.0038387,-.0043226001,.0160322
1988-01,475.35901,409.86691,6.9899998,-.181428,,,.0025807,.0090322001,.030967699
1988-02,475.53131,410.27161,6.6399999,.228407,,,-.0174194,-.0087096998,-.0065517002
1988-03,475.78909,410.508,6.71,-.048409998,,,-.00064520002,.00064520002,-.0028031
1988-04,476.38821,411.03799,7.0100002,.001875,,,-.0093548,.0093548,.0093548
1988-05,476.6438,410.95169,7.4000001,.049412999,,,.0254838,.031290401,.023871001
1988-06,477.06851,411.1965,7.4899998,.093572997,,,.047516201,.037709702,.026129
1988-07,477.4913,411.3269,7.75,-.230565,,,.019580601,.053580601,.0183871
1988-08,477.91241,411.74701,8.1700001,-.014694,,,.1087097,.1209677,.1151613
1988-09,478.3316,411.40329,8.0900002,.146262,,,.0353764,.043118302,.043118302
1988-10,478.6658,411.92569,8.1099997,.236986,,,-.0066666999,-.0066666999,-.0066666999
1988-11,478.9989,412.09781,8.4799995,.101988,,.042318702,-.0096666999,.0196667,.0126666
1988-12,479.33081,412.53229,8.9899998,.23073,,.037943602,.038053799,.0322688,.023785001
