# US quarterly macro panel for the Giannone-Lenza-Primiceri (2015) prior-selection design replication.
# Source: statsmodels.datasets.macrodata (public-domain US-government statistical series, BEA/BLS/FRB;
# statsmodels vintage compiled from FRED, 2009). Columns are a subset of macrodata, sample trimmed to
# 1959Q1-2008Q4 to match the GLP sample end. NOT GLP's dataset: GLP use the Stock-Watson (2008) panel
# (GDP deflator, federal funds rate); this vintage carries CPI and the 3-month T-bill rate instead.
# realgdp/realcons/realinv/realgovt/realdpi: billions of chained 2005 dollars, SAAR. cpi: CPI-U index
# (1982-84=100), quarter-end month. tbilrate: 3-month Treasury bill rate, percent, quarterly average.
year,quarter,realgdp,cpi,realcons,realinv,realgovt,realdpi,tbilrate
1959,1,2710.349,28.98,1707.4,286.898,470.045,1886.9,2.82
1959,2,2778.801,29.15,1733.7,310.859,481.301,1919.7,3.08
1959,3,2775.488,29.35,1751.8,289.226,491.26,1916.4,3.82
1959,4,2785.204,29.37,1753.7,299.356,484.052,1931.3,4.33
1960,1,2847.699,29.54,1770.5,331.722,462.199,1955.5,3.5
1960,2,2834.39,29.55,1792.9,298.152,460.4,1966.1,2.68
1960,3,2839.022,29.75,1785.8,296.375,474.676,1967.8,2.36
1960,4,2802.616,29.84,1788.2,259.764,476.434,1966.6,2.29
1961,1,2819.264,29.81,1787.7,266.405,475.854,1984.5,2.37
1961,2,2872.005,29.92,1814.3,286.246,480.328,2014.4,2.29
1961,3,2918.419,29.98,1823.1,310.227,493.828,2041.9,2.32
1961,4,2977.83,30.04,1859.6,315.463,502.521,2082.0,2.6
1962,1,3031.241,30.21,1879.4,334.271,520.96,2101.7,2.73
1962,2,3064.709,30.22,1902.5,331.039,523.066,2125.2,2.78
1962,3,3093.047,30.38,1917.9,336.962,538.838,2137.0,2.78
1962,4,3100.563,30.44,1945.1,325.65,535.912,2154.6,2.87
1963,1,3141.087,30.48,1958.2,343.721,522.917,2172.5,2.9
1963,2,3180.447,30.69,1976.9,348.73,518.108,2193.1,3.03
1963,3,3240.332,30.75,2003.8,360.102,546.893,2217.9,3.38
1963,4,3264.967,30.94,2020.6,364.534,532.383,2254.6,3.52
1964,1,3338.246,30.95,2060.5,379.523,529.686,2299.6,3.51
1964,2,3376.587,31.02,2096.7,377.778,526.175,2362.1,3.47
1964,3,3422.469,31.12,2135.2,386.754,522.008,2392.7,3.53
1964,4,3431.957,31.28,2141.2,389.91,514.603,2420.4,3.76
1965,1,3516.251,31.38,2188.8,429.145,508.006,2447.4,3.93
1965,2,3563.96,31.58,2213.0,429.119,508.931,2474.5,3.84
1965,3,3636.285,31.65,2251.0,444.444,529.446,2542.6,3.93
1965,4,3724.014,31.88,2314.3,446.493,544.121,2594.1,4.35
1966,1,3815.423,32.28,2348.5,484.244,556.593,2618.4,4.62
1966,2,3828.124,32.45,2354.5,475.408,571.371,2624.7,4.65
1966,3,3853.301,32.85,2381.5,470.697,594.514,2657.8,5.23
1966,4,3884.52,32.9,2391.4,472.957,599.528,2688.2,5.0
1967,1,3918.74,33.1,2405.3,460.007,640.682,2728.4,4.22
1967,2,3919.556,33.4,2438.1,440.393,631.43,2750.8,3.78
1967,3,3950.826,33.7,2450.6,453.033,641.504,2777.1,4.42
1967,4,3980.97,34.1,2465.7,462.834,640.234,2797.4,4.9
1968,1,4063.013,34.4,2524.6,472.907,651.378,2846.2,5.18
1968,2,4131.998,34.9,2563.3,492.026,646.145,2893.5,5.5
1968,3,4160.267,35.3,2611.5,476.053,640.615,2899.3,5.21
1968,4,4178.293,35.7,2623.5,480.998,636.729,2918.4,5.85
1969,1,4244.1,36.3,2652.9,512.686,633.224,2923.4,6.08
1969,2,4256.46,36.8,2669.8,508.601,623.16,2952.9,6.49
1969,3,4283.378,37.3,2682.7,520.36,623.613,3012.9,7.02
1969,4,4263.261,37.9,2704.1,492.334,606.9,3034.9,7.64
1970,1,4256.573,38.5,2720.7,476.925,594.888,3050.1,6.76
1970,2,4264.289,38.9,2733.2,478.419,576.257,3103.5,6.66
1970,3,4302.259,39.4,2757.1,486.594,567.743,3145.4,6.15
1970,4,4256.637,39.9,2749.6,458.406,564.666,3135.1,4.86
1971,1,4374.016,40.1,2802.2,517.935,542.709,3197.3,3.65
1971,2,4398.829,40.6,2827.9,533.986,534.905,3245.3,4.76
1971,3,4433.943,40.9,2850.4,541.01,532.646,3259.7,4.7
1971,4,4446.264,41.2,2897.8,524.085,516.14,3294.2,3.87
1972,1,4525.769,41.5,2936.5,561.147,518.192,3314.9,3.55
1972,2,4633.101,41.8,2992.6,595.495,526.473,3346.1,3.86
1972,3,4677.503,42.2,3038.8,603.97,498.116,3414.6,4.47
1972,4,4754.546,42.7,3110.1,607.104,496.54,3550.5,5.09
1973,1,4876.166,43.7,3167.0,645.654,504.838,3590.7,5.98
1973,2,4932.571,44.2,3165.4,675.837,497.033,3626.2,7.19
1973,3,4906.252,45.6,3176.7,649.412,475.897,3644.4,8.06
1973,4,4953.05,46.8,3167.4,674.253,476.174,3688.9,7.68
1974,1,4909.617,48.1,3139.7,631.23,491.043,3632.3,7.8
1974,2,4922.188,49.3,3150.6,628.102,490.177,3601.1,7.89
1974,3,4873.52,51.0,3163.6,592.672,492.586,3612.4,8.16
1974,4,4854.34,52.3,3117.3,598.306,496.176,3596.0,6.96
1975,1,4795.295,53.0,3143.4,493.212,490.603,3581.9,5.53
1975,2,4831.942,54.0,3195.8,476.085,486.679,3749.3,5.57
1975,3,4913.328,54.9,3241.4,516.402,498.836,3698.6,6.27
1975,4,4977.511,55.8,3275.7,530.596,500.141,3736.0,5.26
1976,1,5090.663,56.1,3341.2,585.541,495.568,3791.0,4.91
1976,2,5128.947,57.0,3371.8,610.513,494.532,3822.2,5.28
1976,3,5154.072,57.9,3407.5,611.646,493.141,3856.7,5.05
1976,4,5191.499,58.7,3451.8,615.898,494.415,3884.4,4.57
1977,1,5251.762,60.0,3491.3,646.198,498.509,3887.5,4.6
1977,2,5356.131,60.8,3510.6,696.141,506.695,3931.8,5.06
1977,3,5451.921,61.6,3544.1,734.078,509.605,3990.8,5.82
1977,4,5450.793,62.7,3597.5,713.356,504.584,4071.2,6.2
1978,1,5469.405,63.9,3618.5,727.504,506.314,4096.4,6.34
1978,2,5684.569,65.5,3695.9,777.454,518.366,4143.4,6.72
1978,3,5740.3,67.1,3711.4,801.452,520.199,4177.1,7.64
1978,4,5816.222,68.5,3741.3,819.689,524.782,4209.8,9.02
1979,1,5825.949,70.6,3760.2,819.556,525.524,4255.9,9.42
1979,2,5831.418,73.0,3758.0,817.66,532.04,4226.1,9.3
1979,3,5873.335,75.2,3794.9,801.742,531.232,4250.3,10.49
1979,4,5889.495,78.0,3805.0,786.817,531.126,4284.3,11.94
1980,1,5908.467,80.9,3798.4,781.114,548.115,4296.2,13.75
1980,2,5787.373,82.6,3712.2,710.64,561.895,4236.1,7.9
1980,3,5776.617,84.7,3752.0,656.477,554.292,4279.7,10.34
1980,4,5883.46,87.2,3802.0,723.22,556.13,4368.1,14.75
1981,1,6005.717,89.1,3822.8,795.091,567.618,4358.1,13.95
1981,2,5957.795,91.5,3822.8,757.24,584.54,4358.6,15.33
1981,3,6030.184,93.4,3838.3,804.242,583.89,4455.4,14.58
1981,4,5955.062,94.4,3809.3,773.053,590.125,4464.4,11.33
1982,1,5857.333,95.0,3833.9,692.514,591.043,4469.6,12.95
1982,2,5889.074,97.5,3847.7,691.9,596.403,4500.8,11.97
1982,3,5866.37,98.1,3877.2,683.825,605.37,4520.6,8.1
1982,4,5871.001,97.9,3947.9,622.93,623.307,4536.4,7.96
1983,1,5944.02,98.8,3986.6,645.11,630.873,4572.2,8.22
1983,2,6077.619,99.8,4065.7,707.372,644.322,4605.5,8.69
1983,3,6197.468,100.8,4137.6,754.937,662.412,4674.7,8.99
1983,4,6325.574,102.1,4203.2,834.427,639.197,4771.1,8.89
1984,1,6448.264,103.3,4239.2,921.763,644.635,4875.4,9.43
1984,2,6559.594,104.1,4299.9,952.841,664.839,4959.4,9.94
1984,3,6623.343,105.1,4333.0,974.989,662.294,5036.6,10.19
1984,4,6677.264,105.7,4390.1,958.993,684.282,5084.5,8.14
1985,1,6740.275,107.0,4464.6,927.375,691.613,5072.0,8.25
1985,2,6797.344,107.7,4505.2,943.383,708.524,5172.7,7.17
1985,3,6903.523,108.5,4590.8,932.959,732.305,5140.7,7.13
1985,4,6955.918,109.9,4600.9,969.434,732.026,5193.9,7.14
1986,1,7022.757,108.7,4639.3,967.442,728.125,5255.8,6.56
1986,2,7050.969,109.5,4688.7,945.972,751.334,5315.5,6.06
1986,3,7118.95,110.2,4770.7,916.315,779.77,5343.3,5.31
1986,4,7153.359,111.4,4799.4,917.736,767.671,5346.5,5.44
1987,1,7193.019,112.7,4792.1,945.776,772.247,5379.4,5.61
1987,2,7269.51,113.8,4856.3,947.1,782.962,5321.0,5.67
1987,3,7332.558,115.0,4910.4,948.055,783.804,5416.2,6.19
1987,4,7458.022,116.0,4922.2,1021.98,795.467,5493.1,5.76
1988,1,7496.6,117.2,5004.4,964.398,773.851,5562.1,5.76
1988,2,7592.881,118.5,5040.8,987.858,765.98,5614.3,6.48
1988,3,7632.082,119.9,5080.6,994.204,760.245,5657.5,7.22
1988,4,7733.991,121.2,5140.4,1007.371,783.065,5708.5,8.03
1989,1,7806.603,123.1,5159.3,1045.975,767.024,5773.4,8.67
1989,2,7865.016,124.5,5182.4,1033.753,784.275,5749.8,8.15
1989,3,7927.393,125.4,5236.1,1021.604,791.819,5787.0,7.76
1989,4,7944.697,127.5,5261.7,1011.119,787.844,5831.3,7.65
1990,1,8027.693,128.9,5303.3,1021.07,799.681,5875.1,7.8
1990,2,8059.598,130.5,5320.8,1021.36,800.639,5913.9,7.7
1990,3,8059.476,133.4,5341.0,997.319,793.513,5918.1,7.33
