# Hamilton (1989) US real GNP growth, 1951Q2-1984Q4 (135 quarters).
# growth = 100 * diff(log(real GNP)), seasonally adjusted, 1982 dollars -- the exact series of
# Hamilton (1989), Econometrica 57(2), Table I / statsmodels & E-views replications.
# nber_recession = NBER-based recession indicator shipped alongside the series.
# Source: US GNP -- US-government statistical data, public domain. Copied verbatim from the
# statsmodels 0.14.6 test suite (`rgnp` and `rec` in
# statsmodels/tsa/regime_switching/tests/test_markov_autoregression.py), which vendors
# Hamilton's own dataset (also distributed as Stata's rgnp.dta and with E-views' SWITCHREG
# example). Extracted 2026-08-18.
quarter,gnp_growth,nber_recession
1951Q2,2.59316421,0
1951Q3,2.20217133,0
1951Q4,0.45827562,0
1952Q1,0.9687438,0
1952Q2,-0.24130757,0
1952Q3,0.89647478,0
1952Q4,2.05393219,0
1953Q1,1.73353648,0
1953Q2,0.93871289,0
1953Q3,-0.46477833,1
1953Q4,-0.80983406,1
1954Q1,-1.39763689,1
1954Q2,-0.39886093,1
1954Q3,1.1918416,0
1954Q4,1.45620048,0
1955Q1,2.11808228,0
1955Q2,1.08957863,0
1955Q3,1.32390273,0
1955Q4,0.87296367,0
1956Q1,-0.19773273,0
1956Q2,0.45420215,0
1956Q3,0.07221876,0
1956Q4,1.1030364,0
1957Q1,0.82097489,0
1957Q2,-0.05795795,0
1957Q3,0.58447772,0
1957Q4,-1.56192672,1
1958Q1,-2.05041027,1
1958Q2,0.53637183,0
1958Q3,2.33676839,0
1958Q4,2.34014559,0
1959Q1,1.2339263,0
1959Q2,1.8869648,0
1959Q3,-0.45920792,0
1959Q4,0.84940469,0
1960Q1,1.70139849,0
1960Q2,-0.28756312,1
1960Q3,0.09594627,1
1960Q4,-0.86080289,1
1961Q1,1.03447127,1
1961Q2,1.23685944,0
1961Q3,1.42004502,0
1961Q4,2.22410631,0
1962Q1,1.30210173,0
1962Q2,1.03517699,0
1962Q3,0.9253425,0
1962Q4,-0.16559951,0
1963Q1,1.3444382,0
1963Q2,1.37500131,0
1963Q3,1.73222184,0
1963Q4,0.71605635,0
1964Q1,2.21032143,0
1964Q2,0.85333031,0
1964Q3,1.00238776,0
1964Q4,0.42725441,0
1965Q1,2.14368343,0
1965Q2,1.43789184,0
1965Q3,1.57959926,0
1965Q4,2.27469826,0
1966Q1,1.95962656,0
1966Q2,0.25992399,0
1966Q3,1.01946914,0
1966Q4,0.49016398,0
1967Q1,0.5636338,0
1967Q2,0.5959546,0
1967Q3,1.43082857,0
1967Q4,0.56230122,0
1968Q1,1.15388393,0
1968Q2,1.68722844,0
1968Q3,0.77438205,0
1968Q4,-0.09647045,0
1969Q1,1.39600146,0
1969Q2,0.13646798,0
1969Q3,0.55223715,0
1969Q4,-0.39944872,0
1970Q1,-0.61671102,1
1970Q2,-0.08722561,1
1970Q3,1.2101835,1
1970Q4,-0.90729755,1
1971Q1,2.64916158,0
1971Q2,-0.0080694,0
1971Q3,0.51111895,0
1971Q4,-0.00401437,0
1972Q1,2.16821432,0
1972Q2,1.92586732,0
1972Q3,1.03504717,0
1972Q4,1.85897219,0
1973Q1,2.32004929,0
1973Q2,0.25570789,0
1973Q3,-0.09855274,0
1973Q4,0.89073682,0
1974Q1,-0.55896485,1
1974Q2,0.28350255,1
1974Q3,-1.31155407,1
1974Q4,-0.88278776,1
1975Q1,-1.97454941,1
1975Q2,1.01275265,0
1975Q3,1.68264723,0
1975Q4,1.38271284,0
1976Q1,1.86073637,0
1976Q2,0.4447377,0
1976Q3,0.41449001,0
1976Q4,0.99202275,0
1977Q1,1.36283576,0
1977Q2,1.59970522,0
1977Q3,1.98845816,0
1977Q4,-0.25684232,0
1978Q1,0.87786949,0
1978Q2,3.1095655,0
1978Q3,0.85324478,0
1978Q4,1.23337317,0
1979Q1,0.00314302,0
1979Q2,-0.09433369,0
1979Q3,0.89883322,0
1979Q4,-0.19036628,0
1980Q1,0.99772376,1
1980Q2,-2.39120054,1
1980Q3,0.06649673,0
1980Q4,1.26136017,0
1981Q1,1.91637838,0
1981Q2,-0.3348029,0
1981Q3,0.44207108,1
1981Q4,-1.40664911,1
1982Q1,-1.52129889,1
1982Q2,0.29919869,1
1982Q3,-0.80197448,1
1982Q4,0.15204792,1
1983Q1,0.98585027,0
1983Q2,2.13034606,0
1983Q3,1.34397924,0
1983Q4,1.61550522,0
1984Q1,2.70930099,0
1984Q2,1.24461412,0
1984Q3,0.50835466,0
1984Q4,0.14802167,0
