# Blanchard-Quah (1989) design replication inputs: US real GDP and the unemployment rate, quarterly 1959Q1-2009Q3 (203 quarters).
# realgdp = real gross domestic product, billions of chained 2005 US dollars, seasonally adjusted annual rate;
# unemp = civilian unemployment rate, percent, seasonally adjusted.
# Source: US-government statistical data (BEA / BLS via FRED), public domain. Copied verbatim from the
# bundled statsmodels 0.15.0 dataset `statsmodels.datasets.macrodata` (columns year, quarter, realgdp, unemp),
# whose own COPYRIGHT note reads "This is public domain." Written by
# `python docs/examples/replication_blanchard_quah.py --write-fixture`; test_replication_blanchard_quah.py
# re-checks equality against the bundle whenever statsmodels is importable.
quarter,realgdp,unemp
1959Q1,2710.349,5.8
1959Q2,2778.801,5.1
1959Q3,2775.488,5.3
1959Q4,2785.204,5.6
1960Q1,2847.699,5.2
1960Q2,2834.390,5.2
1960Q3,2839.022,5.6
1960Q4,2802.616,6.3
1961Q1,2819.264,6.8
1961Q2,2872.005,7.0
1961Q3,2918.419,6.8
1961Q4,2977.830,6.2
1962Q1,3031.241,5.6
1962Q2,3064.709,5.5
1962Q3,3093.047,5.6
1962Q4,3100.563,5.5
1963Q1,3141.087,5.8
1963Q2,3180.447,5.7
1963Q3,3240.332,5.5
1963Q4,3264.967,5.6
1964Q1,3338.246,5.5
1964Q2,3376.587,5.2
1964Q3,3422.469,5.0
1964Q4,3431.957,5.0
1965Q1,3516.251,4.9
1965Q2,3563.960,4.7
1965Q3,3636.285,4.4
1965Q4,3724.014,4.1
1966Q1,3815.423,3.9
1966Q2,3828.124,3.8
1966Q3,3853.301,3.8
1966Q4,3884.520,3.7
1967Q1,3918.740,3.8
1967Q2,3919.556,3.8
1967Q3,3950.826,3.8
1967Q4,3980.970,3.9
1968Q1,4063.013,3.7
1968Q2,4131.998,3.5
1968Q3,4160.267,3.5
1968Q4,4178.293,3.4
1969Q1,4244.100,3.4
1969Q2,4256.460,3.4
1969Q3,4283.378,3.6
1969Q4,4263.261,3.6
1970Q1,4256.573,4.2
1970Q2,4264.289,4.8
1970Q3,4302.259,5.2
