quarter,news,ngov,ngdp,pgdp,rgdp,rgdp_potcbo,recession
1875.00,,,,,,,1.00
1875.25,,,,,,,1.00
1875.50,,,,,,,1.00
1939.00,0.500,15.55971,91.16,0.0803727,1134.272,1391.588,0.00
1939.25,0.000,15.39068,91.47,0.0797008,1147.652,1403.824,0.00
1939.50,0.700,14.71604,95.02,0.0803304,1182.822,1416.218,0.00
1939.75,0.000,15.13357,96.26,0.0809162,1189.654,1428.771,0.00
1940.00,0.000,15.15303,99.61,0.0806885,1234.524,1441.487,0.00
1940.25,31.600,14.81771,100.77,0.0812081,1240.92,1454.37,0.00
1940.50,0.000,14.90522,104.05,0.0813307,1279.343,1467.421,0.00
1940.75,4.900,17.52403,107.40,0.0820127,1309.613,1480.644,0.00
1941.00,7.000,21.09405,115.36,0.0832686,1385.384,1494.042,0.00
1941.25,44.300,24.17447,126.19,0.0855351,1475.259,1507.618,0.00
1941.50,0.000,29.29959,133.23,0.0879928,1514.15,1521.377,0.00
1941.75,97.000,37.03188,143.42,0.0904035,1586.407,1535.321,0.00
1942.00,0.000,43.53841,147.14,0.0919243,1600.625,1549.452,0.00
1942.25,29.000,58.91716,160.10,0.0933798,1714.538,1563.776,0.00
1942.50,66.200,74.5041,171.11,0.0940335,1819.646,1578.296,0.00
1942.75,0.000,85.04033,186.30,0.0954224,1952.391,1593.015,0.00
1943.00,23.000,93.41652,192.03,0.0962394,1995.287,1607.937,0.00
1943.25,0.000,97.69301,201.65,0.0987359,2042.285,1623.066,0.00
1943.50,0.000,98.4669,205.89,0.0982084,2096.478,1638.406,0.00
1943.75,0.000,102.8236,213.09,0.0986164,2160.75,1653.96,0.00
1944.00,0.000,106.6704,218.04,0.0990216,2201.991,1669.733,0.00
1944.25,-34.000,108.3807,222.39,0.1000056,2223.747,1685.73,0.00
1944.50,0.000,109.2759,227.59,0.101003,2253.312,1701.954,0.00
1944.75,19.400,110.4729,230.25,0.1010497,2278.551,1718.409,0.00
1945.00,0.000,110.6101,235.24,0.1011018,2326.743,1735.101,1.00
1945.25,0.000,111.2853,238.28,0.101996,2336.195,1752.032,1.00
1945.50,-41.000,95.28404,226.78,0.1035646,2189.705,1769.21,1.00
1945.75,0.000,69.2205,211.66,0.1048576,2018.557,1786.636,1.00
1946.00,0.000,47.35505,212.56,0.1068402,1989.508,1804.318,0.00
1946.25,0.000,41.58944,222.59,0.1100406,2022.777,1822.26,0.00
1946.50,3.700,41.00173,234.42,0.1204749,1945.793,1840.467,0.00
1946.75,0.000,42.85379,240.15,0.1273644,1885.522,1858.943,0.00
1947.00,0.000,40.1,243.09,0.12566,1934.5,1877.694,0.00
1947.25,7.800,40.3,246.27,0.12745,1932.3,1896.727,0.00
1947.50,0.000,39.8,250.11,0.12957,1930.3,1916.045,0.00
1947.75,0.000,40,260.30,0.13276,1960.7,1935.655,0.00
1948.00,1.800,41.2,266.18,0.13379,1989.5,1955.562,0.00
1948.25,3.500,43.1,272.90,0.13497,2021.9,1975.773,0.00
1948.50,0.000,44.8,279.50,0.13747,2033.2,1996.293,0.00
1948.75,0.000,46.8,280.65,0.13789,2035.3,2017.129,1.00
1949.00,0.000,48.8,275.37,0.13717,2007.5,2025,1.00
1949.25,0.000,50.6,271.69,0.13579,2000.8,2048,1.00
1949.50,0.000,50.6,273.26,0.13509,2022.8,2071,1.00
1949.75,-2.000,50.1,271.00,0.13518,2004.7,2095,1.00
