# US ex-post real interest rate, quarterly 1961Q1-1986Q3 (103 observations).
# Three-month US Treasury bill rate deflated by CPI inflation; the series of
# Garcia & Perron (1996, REStat 78:111-125) analyzed in the empirical
# application of Bai & Perron (2003), "Computation and analysis of multiple
# structural change models", Journal of Applied Econometrics 18(1):1-22.
# Source: R strucchange's RealInt dataset (== the mbreaks package's `real`
# dataset distributed by Perron and coauthors), converted verbatim from
# https://raw.githubusercontent.com/cran/strucchange/master/data/RealInt.rda
# Retrieved 2026-08-18. The underlying data are US-government interest-rate
# and price statistics; redistributed with citation to the papers above.
quarter,realint
1961.00,1.99132
1961.25,0.00403
1961.50,2.27000
1961.75,0.84833
1962.00,1.89112
1962.25,-0.28000
1962.50,3.68431
1962.75,1.62478
1963.00,1.21599
1963.25,1.28373
1963.50,1.70141
1963.75,3.16687
1964.00,2.32779
1964.25,2.26202
1964.50,1.91218
1964.75,3.53196
1965.00,-0.31777
1965.25,3.44694
1965.50,1.52422
1965.75,0.74268
1966.00,1.31541
1966.25,0.36646
1966.50,3.59562
1966.75,3.65740
1967.00,0.97494
1967.25,-0.53280
1967.50,1.12681
1967.75,0.31123
1968.00,0.57834
1968.25,1.08163
1968.50,0.24977
1968.75,0.23792
1969.00,-0.32653
1969.25,1.14733
1969.50,1.19323
1969.75,2.58962
1970.00,0.01195
1970.25,2.63842
1970.50,0.42092
1970.75,2.58823
1971.00,-2.19809
1971.25,2.89548
1971.50,1.82130
1971.75,0.86332
1972.00,0.67496
1972.25,0.34435
1972.50,1.22762
1972.75,-2.83991
1973.00,-1.81630
1973.25,-2.22965
1973.50,-1.58457
1973.75,-6.31184
1974.00,-2.46258
1974.25,-5.61479
1974.50,-3.53887
1974.75,1.01780
1975.00,-1.58875
1975.25,-1.85396
1975.50,-0.25670
1975.75,2.42226
1976.00,-1.29502
1976.25,-0.48977
1976.50,1.21167
1976.75,-4.85498
1977.00,-3.59900
1977.25,0.17094
1977.50,1.51603
1977.75,-1.85304
1978.00,-5.60478
1978.25,-1.25767
1978.50,0.96658
1978.75,-3.09451
1979.00,-5.26773
1979.25,-4.03154
1979.50,-1.76618
1979.75,-5.73978
1980.00,3.83047
1980.25,0.52007
1980.50,-0.18033
1980.75,3.82808
1981.00,3.01171
1981.25,2.75289
1981.50,11.74184
1981.75,9.91701
1982.00,3.03444
1982.25,10.15143
1982.50,9.29177
1982.75,6.87498
1983.00,2.43675
1983.25,4.37202
1983.50,6.77774
1983.75,4.16692
1984.00,5.65037
1984.25,5.17734
1984.50,9.41206
1984.75,3.77006
1985.00,4.24568
1985.25,4.53154
1985.50,3.39706
1985.75,8.93951
1986.00,4.20825
1986.25,3.43461
1986.50,4.30529
