9904  access("/etc/ld.so.preload", R_OK) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/etc/ld.so.cache", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libm.so.6", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libz.so.1", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libexpat.so.1", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/lib/x86_64-linux-gnu/libc.so.6", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/locale/locale-archive", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/usr/share/locale/locale.alias", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/locale/C.UTF-8/LC_CTYPE", O_RDONLY|O_CLOEXEC) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/usr/lib/locale/C.utf8/LC_CTYPE", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/pyvenv.cfg", O_RDONLY) = 3
9904  readlink("/home/user/tsecon/.claude/worktrees/au-security/lab/audit/repo/security/../../../../.venv-wt/bin/python", "python3", 4096) = 7
9904  readlink("/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/bin/python3", "/usr/local/bin/python3", 4096) = 22
9904  readlink("/usr/local/bin/python3", "/usr/bin/python3.11", 4096) = 19
9904  readlink("/usr/bin/python3.11", 0x7ffdaf23e480, 4096) = -1 EINVAL (Invalid argument)
9904  readlink("/usr/bin/python3.11", 0x7ffdaf23e480, 4096) = -1 EINVAL (Invalid argument)
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/lab/audit/repo/security/../../../../.venv-wt/bin/python._pth", O_RDONLY) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/usr/bin/python3.11._pth", O_RDONLY) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/usr/local/bin/pybuilddir.txt", O_RDONLY) = -1 ENOENT (No such file or directory)
9904  openat(AT_FDCWD, "/etc/localtime", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/encodings/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/encodings", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/encodings/__pycache__/aliases.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/encodings/__pycache__/utf_8.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/pyvenv.cfg", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/distutils-precedence.pth", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/usr/lib/python3.11/lib-dynload", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 4
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 4
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/_distutils_hack/__pycache__/__init__.cpython-311.pyc", O_RDONLY|O_CLOEXEC) = 4
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/tsecon.pth", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages", O_RDONLY|O_NONBLOCK|O_CLOEXEC|O_DIRECTORY) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/distutils-precedence.pth", O_RDONLY|O_CLOEXEC) = 3
9904  openat(AT_FDCWD, "/home/user/tsecon/.claude/worktrees/au-security/.venv-wt/lib/python3.11/site-packages/tsecon.pth", O_RDONLY|O_CLOEXEC) = 3
